DATE,CCRETT02CHQ661N
1970-01-01,44.3521642346721
1970-04-01,45.446853086746
1970-07-01,46.2714175717949
1970-10-01,46.3820782467394
1971-01-01,46.034658675636
1971-04-01,47.6913926409409
1971-07-01,48.8923903620429
1971-10-01,48.7327298020415
1972-01-01,47.8759188184128
1972-04-01,48.5515733260298
1972-07-01,50.4302132152309
1972-10-01,51.0241888477204
1973-01-01,53.9074491609223
1973-04-01,55.3064774048386
1973-07-01,54.9826781714508
1973-10-01,53.3805820916281
1974-01-01,54.4734882740133
1974-04-01,55.3423205750822
1974-07-01,56.0867717355613
1974-10-01,58.6607530315554
1975-01-01,61.7743619108668
1975-04-01,60.3302217469411
1975-07-01,59.9429836834761
1975-10-01,60.9405523460554
1976-01-01,63.1911681076872
1976-04-01,65.4049396878938
1976-07-01,64.0393144381055
1976-10-01,63.2703429223732
1977-01-01,59.0042953666341
1977-04-01,58.025927224406
1977-07-01,59.7510427411493
1977-10-01,63.9987400401511
1978-01-01,68.8155368943608
1978-04-01,69.0853456319178
1978-07-01,75.3194920027061
1978-10-01,74.1428196824614
1979-01-01,70.5860224153164
1979-04-01,69.8595283213944
1979-07-01,68.6697187459545
1979-10-01,67.8601912976387
1980-01-01,63.9211734309854
1980-04-01,62.6824175172855
1980-07-01,62.638885568024
1980-10-01,61.6925878463561
1981-01-01,60.0206034334157
1981-04-01,60.2456243841616
1981-07-01,62.3989905193117
1981-10-01,68.6955525209134
1982-01-01,71.0966592148322
1982-04-01,69.1085073468968
1982-07-01,68.8216919981287
1982-10-01,69.5848645739948
1983-01-01,72.3827850209278
1983-04-01,72.6973429586946
1983-07-01,73.352737685566
1983-10-01,74.0590324074455
1984-01-01,72.1973649895599
1984-04-01,70.2626900374236
1984-07-01,68.585469487222
1984-10-01,69.0288384820516
1985-01-01,65.8098441603781
1985-04-01,67.207325597584
1985-07-01,70.4009609852093
1985-10-01,71.7251221883296
1986-01-01,72.3094387696254
1986-04-01,74.0597696473744
1986-07-01,78.6597599977562
1986-10-01,78.81112397665
1987-01-01,78.3967618628404
1987-04-01,80.117397076243
1987-07-01,79.501042383897
1987-10-01,81.7573032953824
1988-01-01,81.6486707625374
1988-04-01,80.333212871822
1988-07-01,78.6257256940754
1988-10-01,78.3284053365016
1989-01-01,76.1793336933909
1989-04-01,73.4731860283639
1989-07-01,75.5696932256763
1989-10-01,75.227760765756
1990-01-01,76.7409295999168
1990-04-01,78.9653787793824
1990-07-01,81.6443883919771
1990-10-01,82.267597380447
1991-01-01,82.6255554743141
1991-04-01,81.5468632802753
1991-07-01,80.2015272212296
1991-10-01,80.6214036917319
1992-01-01,78.2971041769948
1992-04-01,76.2471687013789
1992-07-01,80.512632080255
1992-10-01,81.4574145810179
1993-01-01,78.9115644318775
1993-04-01,78.9564877326066
1993-07-01,80.2934938826669
1993-10-01,80.9004346342445
1994-01-01,82.8259640612476
1994-04-01,83.6711848419747
1994-07-01,84.900513908978
1994-10-01,84.2870075973545
1995-01-01,86.8578454265011
1995-04-01,90.2915772939073
1995-07-01,89.2109102020686
1995-10-01,91.0727375244329
1996-01-01,88.5264349913053
1996-04-01,86.5439608745099
1996-07-01,86.8914993518435
1996-10-01,83.421867639129
1997-01-01,78.0382682236759
1997-04-01,79.3337776375797
1997-07-01,79.3544163904398
1997-10-01,80.5605609484852
1998-01-01,81.2859070658603
1998-04-01,78.1819444124436
1998-07-01,79.4552037427391
1998-10-01,84.1921668968639
1999-01-01,84.0021583793285
1999-04-01,81.864220881471
1999-07-01,81.2157899551956
1999-10-01,79.244223590615
2000-01-01,77.4627124612401
2000-04-01,78.701700489217
2000-07-01,78.8089378756742
2000-10-01,79.1243685964705
2001-01-01,80.8019658462493
2001-04-01,80.0740557127512
2001-07-01,82.8120775218008
2001-10-01,84.8329123350531
2002-01-01,84.6992372235154
2002-04-01,86.357507390518
2002-07-01,86.9366489670863
2002-10-01,87.2957257749387
2003-01-01,88.9504920159517
2003-04-01,86.4098390685979
2003-07-01,83.140122950538
2003-10-01,82.6705417439936
2004-01-01,81.6880268598053
2004-04-01,82.0469922397194
2004-07-01,82.6803867878047
2004-10-01,83.9833552836024
2005-01-01,82.5858989102723
2005-04-01,81.529720482396
2005-07-01,79.6675697557838
2005-10-01,78.8214435262792
2006-01-01,77.7924008998095
2006-04-01,77.9385066730271
2006-07-01,77.0616340704001
2006-10-01,75.932748561562
2007-01-01,75.0266519022071
2007-04-01,73.4187133118267
2007-07-01,73.2628941876122
2007-10-01,72.8403438670086
2008-01-01,75.3419634994589
2008-04-01,74.7917987465748
2008-07-01,73.584459245362
2008-10-01,77.9507884732997
2009-01-01,81.3558275854241
2009-04-01,80.5699949051949
2009-07-01,80.0203626858953
2009-10-01,80.34463173602
2010-01-01,80.6606754450532
2010-04-01,81.0675821671929
2010-07-01,85.7246203904482
2010-10-01,87.0838650798216
2011-01-01,89.4660429379835
2011-04-01,93.2937963222121
2011-07-01,100.653141840448
2011-10-01,94.5459885851783
2012-01-01,93.8193047890096
2012-04-01,93.6620195274731
2012-07-01,91.8029510607098
2012-10-01,92.3576144780856
2013-01-01,91.4892923662341
2013-04-01,90.8934614595801
2013-07-01,91.3373990861211
2013-10-01,92.2161848689732
2014-01-01,92.3712411629226
2014-04-01,92.0319071482165
2014-07-01,91.3130374299396
2014-10-01,91.3618676707061
2015-01-01,100.927813212522
2015-04-01,102.024853202142
2015-07-01,99.4155200031774
2015-10-01,97.6318135821582
2016-01-01,97.7583703855956
2016-04-01,97.3062426984511
2016-07-01,97.6402694867579
2016-10-01,98.0679851447337
2017-01-01,97.9518544048752
2017-04-01,97.2719554741179
2017-07-01,94.9008836250975
2017-10-01,91.6078412363036
2018-01-01,90.7765563429547
2018-04-01,88.7376063514978
2018-07-01,90.9969640120438
2018-10-01,91.3424181548787
2019-01-01,91.1058334571889
2019-04-01,91.1175474283169
2019-07-01,93.6496728876847
2019-10-01,92.9489408006904
2020-01-01,94.6841039740076
2020-04-01,91.8415855493737
2020-07-01,96.9468364254821
2020-10-01,93.7487828311324
2021-01-01,93.4896307240324
2021-04-01,91.957232921275
2021-07-01,92.8857908192863
2021-10-01,93.9284535956575
2022-01-01,93.9169746384597
2022-04-01,93.1719385823194
